Work Item Type,Title,Description,Area Path,Iteration Path,Original Estimate,Tags,Priority
Task,[W1] 1.1 Design and implement multisig wallet structures,"Design and implement multisig wallet structures for VottunBridge

Part of Milestone 1: Core Multisig Infrastructure

Component: SC Qubic
Week: 1",SC Qubic,Week 1,8,M1;SC-Qubic;Week-1,2
Task,[W1] 1.2 Modify existing order structures for approval tracking,"Modify existing order structures for approval tracking

Details:
- Extend BridgeOrder with approval tracking fields
- Update all related input/output structures
- Ensure proper initialization and cleanup

Part of Milestone 1: Core Multisig Infrastructure

Component: SC Qubic
Week: 1",SC Qubic,Week 1,8,M1;SC-Qubic;Week-1,2
Task,[W1] 1.3 Implement core multisig validation functions,"Implement core multisig validation functions

Details:
- Owner verification and validation logic
- Approval counting and threshold checking
- Security validations and edge case handling

Part of Milestone 1: Core Multisig Infrastructure

Component: SC Qubic
Week: 1",SC Qubic,Week 1,16,M1;SC-Qubic;Week-1,2
Task,[W1] 2.1 Design and implement comprehensive DTO structures,"Design and implement comprehensive DTO structures

Details:
- Multisig wallet DTOs with validation
- Update order DTOs for approval tracking
- Approval history and audit trail structures
- JSON marshaling and validation

Part of Milestone 1: Core Multisig Infrastructure

Component: Backend Go
Week: 1",Backend Go,Week 1,8,M1;Backend-Go;Week-1,2
Task,[W1] 2.2 Develop robust multisig business logic - PARTIAL,"Develop robust multisig business logic (PARTIAL - 10h of 12h)

Details:
- Multisig service layer with state management
- Approval workflow orchestration

Note: Remaining 2h will be completed in Week 3

Part of Milestone 1: Core Multisig Infrastructure

Component: Backend Go
Week: 1",Backend Go,Week 1,10,M1;Backend-Go;Week-1,2
Task,[W1] 4.1 Develop state management and API integration - PARTIAL,"Develop state management and API integration (PARTIAL - 6h of 15h)

Details:
- Basic multisig wallet hooks with caching
- Initial approval status hooks

Note: Remaining 9h will be completed in Week 5

Part of Milestone 1: Core Multisig Infrastructure

Component: Frontend React
Week: 1",Frontend React,Week 1,6,M1;Frontend-React;Week-1,2
Task,[W1] 5.1 Comprehensive unit testing - PARTIAL,"Comprehensive unit testing (PARTIAL - 12h of 16h)

Details:
- Qubic contract multisig function testing
- Go backend service layer testing with mocks

Note: Remaining 4h will be completed in Week 3

Part of Milestone 1: Core Multisig Infrastructure

Component: Testing
Week: 1",Testing,Week 1,12,M1;Testing;Week-1,2
Task,[W2] QA - M1 Ecosystem Services validation,"Ecosystem Services validation of M1 deliverables

Success Criteria:
- Multisig structure deployed and functional
- Basic approval validation working
- API endpoints operational

Part of Milestone 1: Core Multisig Infrastructure

Component: QA
Week: 2",QA,Week 2,0,M1;QA;Week-2,1
Task,[W3] 1.4 Refactor critical operations for multisig workflow,"Refactor critical operations for multisig workflow

Details:
- Complete redesign of completeOrder for multiple approvals
- Modify refundOrder with approval requirements
- Update transferToContract with multisig validation
- Add approval submission and revocation logic

Part of Milestone 2: Full Order Lifecycle + EVM Integration

Component: SC Qubic
Week: 3",SC Qubic,Week 3,16,M2;SC-Qubic;Week-3,2
Task,[W3] 2.2 Develop robust multisig business logic - COMPLETE,"Develop robust multisig business logic (COMPLETE - 2h remaining of 12h)

Details:
- Integration with existing Qubic contract interactions
- Error handling and retry mechanisms

Note: This completes the work started in Week 1

Part of Milestone 2: Full Order Lifecycle + EVM Integration

Component: Backend Go
Week: 3",Backend Go,Week 3,2,M2;Backend-Go;Week-3,2
Task,[W3] 2.3 Refactor existing endpoints for multisig compatibility,"Refactor existing endpoints for multisig compatibility

Details:
- Redesign complete-order endpoint with approval workflows
- Update refund-order with multisig voting requirements
- Modify order status endpoints for approval visibility
- Ensure backward compatibility

Part of Milestone 2: Full Order Lifecycle + EVM Integration

Component: Backend Go
Week: 3",Backend Go,Week 3,8,M2;Backend-Go;Week-3,2
Task,[W3] 2.4 Implement comprehensive multisig API endpoints - PARTIAL,"Implement comprehensive multisig API endpoints (PARTIAL - 8h of 16h)

Details:
- Approval submission and tracking endpoints
- Wallet owner management with proper authorization

Note: Remaining 8h will be completed in Week 5

Part of Milestone 2: Full Order Lifecycle + EVM Integration

Component: Backend Go
Week: 3",Backend Go,Week 3,8,M2;Backend-Go;Week-3,2
Task,[W3] 3.1 Design and implement comprehensive operator multisig system,"Design and implement comprehensive operator multisig system

Details:
- Create sophisticated approval tracking mappings and structures
- Implement operator role management with access controls
- Design gas-efficient approval storage mechanisms
- Add comprehensive event emission for approval tracking

Part of Milestone 2: Full Order Lifecycle + EVM Integration

Component: SC EVM
Week: 3",SC EVM,Week 3,12,M2;SC-EVM;Week-3,2
Task,[W3] 3.2 Refactor critical order operations for multisig requirements,"Refactor critical order operations for multisig requirements

Details:
- Complete redesign of confirmOrder with approval threshold validation
- Modify executeOrder to require multiple operator signatures
- Update revertOrder with multisig approval requirements
- Implement approval expiration and cleanup mechanisms

Part of Milestone 2: Full Order Lifecycle + EVM Integration

Component: SC EVM
Week: 3",SC EVM,Week 3,16,M2;SC-EVM;Week-3,2
Task,[W3] 3.3 Add comprehensive multisig management functions - PARTIAL,"Add comprehensive multisig management functions (PARTIAL - 12h)

Details:
- Approval submission with validation and security checks

Part of Milestone 2: Full Order Lifecycle + EVM Integration

Component: SC EVM
Week: 3",SC EVM,Week 3,12,M2;SC-EVM;Week-3,2
Task,[W3] 5.1 Comprehensive unit testing - COMPLETE,"Comprehensive unit testing (COMPLETE - 4h remaining of 16h)

Details:
- EVM contract testing with complex approval workflows
- React component testing with various approval states

Note: This completes the work started in Week 1

Part of Milestone 2: Full Order Lifecycle + EVM Integration

Component: Testing
Week: 3",Testing,Week 3,4,M2;Testing;Week-3,2
